ID,story,text,V_pred,A_pred
87,story1,which has been considerably varied to suit the purposes of this romance.,0.43340367,0.15843023
88,story1,"The late Mister Leslie, who died in eighteen seventy four, tells it in his book",0.4790019,0.17957711
89,story1,Among the Zulus and Amatongas.,0.47243682,0.17532304
90,story1,"""I heard a story the other day,""",0.51051563,0.23169182
91,story1,"he says,",0.51821476,0.24706352
92,story1,I might have worked up into a first-class sensational novel.,0.50124335,0.2304593
93,story1,It is the story that has been woven into the plot of this book.,0.47855458,0.1830209
94,story1,it was told to Mister Leslie by the Zulu who performed the feat and thereby won a wife.,0.4851786,0.197139
95,story1,"Also the writer's thanks are due to his friends,",0.49175197,0.3223113
96,story1,"late Zulu border agent,",0.5133147,0.3309755
97,story1,"for much information given to him in bygone years by word of mouth,",0.5314397,0.32917866
98,story1,"formerly treasurer to the Government of Natal,",0.52683604,0.31583348
99,story1,"whose compilation,",0.51416355,0.31013367
100,story1,"""The Annals of Natal,""",0.52468747,0.32051235
101,story1,"""Watcher of the Fords,""",0.5200718,0.2916934
102,story1,"is an historical weapon,",0.5314048,0.31982213
103,story1,"He was an arbitrary person, for",0.47433838,0.21411395
104,story1,"no matter what was discussed in our village,",0.46370396,0.19266716
105,story1,he would bring it to a conclusion with a stick.,0.46863267,0.1792308
106,story1,But he made a good end;,0.5953048,0.3171499
107,story1,"for when the Zulu soldiers attacked him,",0.5532217,0.3971259
108,story1,"he killed no less than twenty of them with the Watcher,",0.6128281,0.50939095
109,story1,and the spears stuck in him,0.52837896,0.60266507
110,story1,as thick as reeds in a morass.,0.5652004,0.5029262
111,story1,This man's strength was so great that he could kill a leopard,0.55454963,0.3120702
112,story1,"with his hands only,",0.5429764,0.30510622
113,story1,It has been little if at all exaggerated.,0.50180143,0.20940141
114,story1,"and to take the form of a young maiden,",0.4807512,0.22986281
115,story1,in fact an angel.,0.4795007,0.2147687
116,story1,"She is said to appear to some chosen person,",0.4811201,0.18781635
117,story1,to whom she imparts some revelation;,0.47044498,0.18884552
118,story1,"whatever that revelation may be,",0.46684018,0.19347364
119,story1,it is kept a profound secret from outsiders.,0.4635972,0.17326318
120,story1,"just before the Zulu war,",0.42100614,0.21493137
121,story1,"revealing something or other which had a great effect throughout the land,",0.4379317,0.20476222
122,story1,and I know that the Zulus were quite impressed that some calamity was about to befall them.,0.37694257,0.25363022
123,story1,"One of the ominous signs was that fire is said to have descended from heaven,",0.35360518,0.31639248
124,story1,and ignited the grass over the graves of the former kings of Zululand.,0.35093737,0.31594872
125,story1,"that the native women buried their young children up to their heads in sand,",0.2289871,0.50472516
126,story1,"deserting them for the time being,",0.19088174,0.60059226
127,story1,"going away weeping,",0.17513132,0.60541254
128,story1,"For this divine personage there is,",0.4142282,0.20640841
129,story1,"authority,",0.42309263,0.21169941
130,story1,and the same may be said of most of the supernatural matters spoken of in these pages.,0.42858505,0.1620615
131,story1,"Briefly,",0.434271,0.20179188
132,story1,"or the spirit of an ancestor,",0.4380833,0.20791404
133,story1,to that of a god.,0.45264974,0.17903738
134,story1,"In the case of an able and highly intelligent person like the Mopo of this story,",0.5247655,0.23512858
135,story1,the ideal would probably not be a low one;,0.5063484,0.2291603
136,story1,It only remains to the writer to express his regret that this story is not more varied in its hue.,0.4533415,0.15755467
137,story1,It would have been desirable to introduce some gayer and more happy incidents.,0.44650042,0.18241915
138,story1,But it has not been possible.,0.42778775,0.14759234
139,story1,"It is believed that the picture given of the times is a faithful one,",0.4668118,0.15680398
140,story1,though it may be open to correction in some of its details.,0.46288186,0.15207453
141,story1,the aged man who tells the tale of his wrongs and vengeance could not be expected to treat his subject in an optimistic or even in a cheerful vein.,0.41572332,0.1786572
142,story1,"His name does not matter, for he plays no part in this story.",0.4655078,0.13374588
143,story1,which he was transporting to Pretoria.,0.44178265,0.17053579
144,story1,"The weather was cold and there was little or no grass for the oxen,",0.42435238,0.20850417
145,story1,which made the journey difficult;,0.415509,0.21578862
146,story1,"but he had been tempted to it by the high rates of transport that prevailed at that season of the year,",0.4439333,0.19652528
147,story1,which would remunerate him for any probable loss he might suffer in cattle.,0.4387629,0.17597651
148,story1,"So he pushed along on his journey,",0.45676586,0.19199248
149,story1,"and all went well until he had passed the little town of Stanger,",0.44198093,0.19861256
150,story1,"The night after he left Stanger the air turned bitterly cold,",0.38973033,0.27214503
151,story1,and hid the light of the stars.,0.42148975,0.22739293
152,story1,"I should say that there was a heavy fall of snow coming,",0.35815617,0.31653416
153,story1,said the White Man to himself.,0.37305325,0.2857153
154,story1,I have often seen the sky look like that in Scotland before snow.,0.44894293,0.19192776
155,story1,"Then he reflected that there had been no deep snow in Natal for years,",0.4000863,0.23808876
156,story1,"and,",0.38940582,0.2720898
157,story1,every ox in its place.,0.40232518,0.24098794
158,story1,He thrust his head through the curtain of the tent and looked out.,0.46449867,0.16638668
159,story1,"The earth was white with snow,",0.4481538,0.26283118
160,story1,"and the air was full of it,",0.43545145,0.2664587
161,story1,swept along by a cutting wind.,0.4042648,0.2718271
162,story1,"Now he sprang up,",0.36661237,0.42637226
163,story1,huddling on his clothes and as he did so calling to the Kaffirs who slept beneath the wagons.,0.3411486,0.38550764
164,story1,"Presently they awoke from the stupor which already was beginning to overcome them,",0.42168897,0.29667634
165,story1,"and crept out,",0.42500985,0.27862436
166,story1,he said to them in Zulu;,0.4059938,0.30253682
167,story1,quick!,0.35741517,0.49751928
168,story1,Would you see the cattle die of the snow and wind?,0.17956904,0.5668465
169,story1,they will give them some shelter.,0.39288342,0.30363756
170,story1,And lighting a lantern he sprang out into the snow.,0.43399137,0.24057901
171,story1,"At last it was done-no easy task,",0.5322603,0.27437052
172,story1,"Then the White Man crept back to his bed,",0.4694083,0.25531858
173,story1,"and the shivering natives,",0.40598437,0.3159256
174,story1,"took refuge on the second wagon,",0.40802306,0.30409014
175,story1,drawing a tent-sail over them.,0.40963,0.25983745
176,story1,save for the moaning of the huddled and restless cattle.,0.30818188,0.29525077
177,story1,"""If the snow goes on I shall lose my oxen,""",0.1803996,0.5056968
178,story1,he said to himself;,0.17685531,0.49922147
179,story1,they can never bear this cold.,0.14416078,0.51582795
180,story1,Hardly had the words passed his lips when the wagon shook;,0.17162578,0.5227858
181,story1,Once more he looked out.,0.19153288,0.46601033
182,story1,"running away into the night and the snow,",0.10466981,0.6582993
183,story1,seeking to find shelter from the cold.,0.10224222,0.6700457
184,story1,In a minute they had vanished utterly.,0.14536002,0.5376767
185,story1,"There was nothing to be done, except wait for the morning.",0.25157258,0.3448096
186,story1,"At last it came, revealing a landscape blind with snow.",0.39206794,0.21086943
187,story1,Such search as could be made told them nothing.,0.39978248,0.19257827
188,story1,"The oxen had gone,",0.25024515,0.40640566
189,story1,"""What was to be done?""",0.15390962,0.49726218
190,story1,he asked.,0.17185903,0.459029
191,story1,"One said this thing,",0.35481232,0.28622133
192,story1,but all agreed that they must wait to act until the snow melted.,0.40081185,0.212991
193,story1,"""Or till we freeze, you whose mothers were fools!""",0.12037222,0.80244875
194,story1,"said the White Man,",0.1172967,0.8206693
195,story1,"who was in the worst of tempers,",0.10542814,0.8737278
196,story1,He was the driver of the first wagon.,0.26264015,0.5401787
197,story1,"""My father,""",0.44626826,0.21959628
198,story1,"he said to the White Man,",0.4647193,0.20266062
199,story1,this is my word.,0.44960356,0.17790116
200,story1,The oxen are lost in the snow.,0.26050618,0.36612162
201,story1,"No man knows whither they have gone,",0.1781921,0.40949094
202,story1,or whether they live or are now but hides and bones.,0.14915538,0.4576765
203,story1,"and he pointed to some huts about two miles away on the hillside,",0.41503796,0.21025981
204,story1,answered the White Man.,0.42471132,0.18758968
205,story1,"Before him was a very ancient man,",0.32672855,0.3265613
206,story1,"a mere bag of bones,",0.28305122,0.37564722
207,story1,"with sightless eyes,",0.2909189,0.36755082
208,story1,and one hand-his left-white and shrivelled.,0.278236,0.35047984
209,story1,asked the old man in a thin voice.,0.3329758,0.26414827
210,story1,You do not believe in me and my wisdom; why should I help you?,0.16318464,0.6095208
211,story1,"Yet I will do it,",0.3718522,0.31713018
212,story1,"though it is against your law,",0.36808977,0.33472392
213,story1,"and you do wrong to ask me,-yes,",0.3804237,0.33497423
214,story1,I will help you.,0.38355315,0.28804132
215,story1,"My father, I know what you seek.",0.4322083,0.19687773
216,story1,You seek to know where your oxen have run for shelter from the cold!,0.4223742,0.23962434
217,story1,"""It is so, Doctor,""",0.44988772,0.19652134
218,story1,answered the White Man.,0.45774862,0.189113
219,story1,You have long ears.,0.44989726,0.222561
220,story1,"Yes,",0.46311826,0.24458152
221,story1,"I have long ears,",0.44883397,0.24753895
222,story1,though they say that I grow deaf.,0.45369136,0.2200908
223,story1,"I have keen eyes also, and yet I cannot see your face.",0.46061024,0.22030134
224,story1,Let me hearken!,0.4709963,0.19234094
225,story1,Let me look!,0.4773632,0.20538726
226,story1,"You have a farm, White Man, down near Pine Town, is it not?",0.45801836,0.16764976
227,story1,"you shall find your oxen-yes,",0.4589683,0.21208915
228,story1,"the little red Zulu ox with one horn,",0.44947082,0.21393503
229,story1,"You shall not find these, for they have died in the snow.",0.3208682,0.2921578
230,story1,"Send, and you will find the others.",0.47765175,0.2046671
231,story1,I ask no fee!,0.4749855,0.20900817
232,story1,I do not work wonders for reward.,0.45853278,0.2068537
233,story1,Now the White Man scoffed.,0.32598385,0.4757111
234,story1,"But in the end, so great is the power of superstition, he sent.",0.46678847,0.27144152
235,story1,"those whom he sent returned with the oxen,",0.49051252,0.333051
236,story1,except the three only.,0.49639642,0.3523433
237,story1,After that he scoffed no more.,0.4923848,0.34564057
238,story1,"and every afternoon he came and talked with him,",0.59317553,0.43695363
239,story1,sitting far into the night.,0.5994289,0.41552767
240,story1,of whom he had let fall some words.,0.5367705,0.31092778
241,story1,Then the old man told him the tale that is set out here.,0.47203025,0.20908847
242,story1,Day by day he told some of it till it was finished.,0.47140676,0.18121594
243,story1,"It is not all written in these pages,",0.4525542,0.1748373
244,story1,Neither has it been possible for the writer of it to render the full force of the Zulu idiom nor to convey a picture of the teller.,0.44317275,0.1571866
245,story1,"For, in truth, he acted rather than told his story.",0.4684828,0.15792844
246,story1,"Was the death of a warrior in question,",0.4428125,0.19434065
247,story1,"he stabbed with his stick,",0.44579843,0.22056662
248,story1,showing how the blow fell and where;,0.45010477,0.19818345
249,story1,"did the story grow sorrowful, he groaned, or even wept.",0.39723566,0.22693783
250,story1,"Moreover, he had many voices, one for each of the actors in his tale.",0.46765164,0.18317218
251,story1,"This man, ancient and withered, seemed to live again in the far past.",0.52385515,0.2952549
252,story1,"It was the past that spoke to his listener,",0.4935195,0.28046635
253,story1,"telling of deeds long forgotten,",0.4718977,0.29241446
254,story1,of deeds that are no more known.,0.4531704,0.25137043
255,story1,"Yet as he best may,",0.43476075,0.29008722
256,story1,"and in many ways,",0.4814284,0.3175399
257,story1,"he has done more,",0.40383646,0.26637122
258,story1,he has printed it that others may judge of it.,0.49590138,0.2713207
259,story1,And now his part is played.,0.4524041,0.1791007
260,story1,"but who had another name,",0.440969,0.24276976
261,story1,take up the story.,0.42592144,0.19828507
262,story1,the most beautiful of Zulu women.,0.4580839,0.22614048
263,story1,"but you are here for many nights,",0.39949602,0.2185076
264,story1,it shall be told.,0.39760673,0.19238342
265,story1,"for I have much to say that is sorrowful,",0.1780988,0.23312071
266,story1,"Do you know who I am, my father?",0.3269543,0.18985862
267,story1,You do not know.,0.33517048,0.22545648
268,story1,"So men have thought for many years, but that is not my name.",0.28177252,0.23046523
269,story1,"Few have known it,",0.28702027,0.24278347
270,story1,"for I have kept it locked in my breast,",0.25815555,0.22983837
271,story1,"Look at this hand, my father-no, not that which is withered with fire;",0.2206864,0.2894373
272,story1,"You see it, though I who am blind cannot.",0.28641874,0.22964217
273,story1,"But still, within me, I see it as it was once.",0.33010858,0.21474263
274,story1,I see it red and strong-red with the blood of two kings.,0.32991222,0.27090427
275,story1,"Listen, my father; bend your ear to me and listen.",0.3576915,0.26129037
276,story1,I felt you start;,0.35355985,0.2987874
277,story1,he died on the Ghost Mountain;,0.35340655,0.3000005
278,story1,But I also was on the Ghost Mountain.,0.37239298,0.24907532
279,story1,"In those days my feet still could travel fast,",0.42709804,0.23001716
280,story1,"I travelled by day, and by night I found him.",0.38658527,0.22471133
281,story1,Why do I tell you this?,0.39077616,0.20786273
282,story1,I will tell you.,0.3873753,0.20902371
283,story1,and because he had murdered my wives and children.,0.22992854,0.37389043
284,story1,"There are great names in the story, my father.",0.3974553,0.21047239
285,story1,"Yes, many have heard the names:",0.4144878,0.22296186
286,story1,I have felt the mountains shake and seen the waters quiver in their sound.,0.42580676,0.20595567
287,story1,But where are they now?,0.38406515,0.20163484
288,story1,I opened the gates of distance for the holders of the names.,0.41928804,0.15972072
289,story1,They passed through and they are gone beyond.,0.316201,0.25491273
290,story1,I cut the strings that tied them to the world.,0.33774567,0.22681692
291,story1,They fell off!,0.27471372,0.33517355
292,story1,"Perhaps they are falling still,",0.35083807,0.25245368
293,story1,I wish I knew the snakes that I might crush them with my heel.,0.32304445,0.25861028
294,story1,"Yonder, beneath us, at the burying-place of kings, there is a hole.",0.39111722,0.19667928
295,story1,Far away in Zululand there is a cleft upon the Ghost Mountain.,0.43696648,0.15807742
296,story1,the king who died for Nada.,0.39373398,0.17072661
297,story1,It was far to fall and he was heavy;,0.3855857,0.21919955
298,story1,those bones of his are broken into little pieces.,0.3051756,0.26911375
299,story1,I went to see them when the vultures and the jackals had done their work.,0.377016,0.20042881
300,story1,And then I laughed three times and came here to die.,0.49132144,0.37916967
301,story1,"All that is long ago, and I have not died;",0.43158415,0.19435981
302,story1,that you may repeat it to the white men if you will.,0.4444258,0.17647478
303,story1,How old am I?,0.4400695,0.15272054
304,story1,"Nay, I do not know.",0.4015215,0.16769119
305,story1,"Very, very old.",0.35576153,0.20369923
306,story1,We were not a large tribe;,0.39460123,0.19363904
307,story1,"perhaps there were between two and three thousand of them,",0.40769204,0.20114712
308,story1,but they were brave.,0.42304406,0.18621454
309,story1,"Now they are all dead,",0.14665514,0.28632525
310,story1,"and their women and children with them,-that people is no more.",0.11560174,0.27322102
311,story1,It is gone like last month's moon;,0.1353285,0.2909865
312,story1,Our tribe lived in a beautiful open country;,0.35418522,0.21880445
313,story1,"standing as high as a man's elbow only,",0.38112238,0.20912538
314,story1,"My mother was very fond of these cows,",0.4218481,0.21788447
315,story1,and there was one with a white face that would follow her about.,0.45746964,0.18615
316,story1,"Then the boys went on with the cattle,",0.44433108,0.17830269
317,story1,"My mother sat down on the grass and nursed her baby,",0.4753055,0.17997485
318,story1,and the cow grazed.,0.47548386,0.16025059
319,story1,She walked like one who is tired.,0.45967096,0.16048004
320,story1,"On her back was a bundle of mats,",0.4149687,0.19645183
321,story1,"and she led by the hand a boy of about my own age,",0.41607782,0.20805834
322,story1,but bigger and stronger than I was.,0.43768182,0.1927139
323,story1,"We waited a long while,",0.42321068,0.22011344
324,story1,for she was very weary.,0.38885838,0.21186838
325,story1,We saw by the way her hair was dressed that she was not of our tribe.,0.44451332,0.17738223
326,story1,said the woman.,0.45331153,0.19503719
327,story1,answered my mother.,0.44984984,0.20682675
328,story1,"""Food, and a hut to sleep in,""",0.37462538,0.18892957
329,story1,said the woman.,0.37756637,0.19733839
330,story1,I have travelled far.,0.38419235,0.1962527
331,story1,"""How are you named?-and what is your people?""",0.44286504,0.18918376
332,story1,asked my mother.,0.43984115,0.19025557
333,story1,said the stranger.,0.43884867,0.19621709
334,story1,"Now there had been war between our people and the Zulu people,",0.43754795,0.23187673
335,story1,"So, when my mother heard the speech of Unandi she sprang up in anger.",0.11723048,0.82483757
336,story1,wife of a dog of a Zulu!,0.09088966,0.84449154
337,story1,"The woman,",0.3657202,0.44133097
338,story1,"who was very handsome,",0.42123377,0.30826643
339,story1,waited till my mother had finished her angry words;,0.34587017,0.40536073
340,story1,"then she looked up and spoke slowly,",0.36444828,0.35060614
341,story1,"""I will not,""",0.17263605,0.71190876
342,story1,said my mother.,0.16513707,0.6832415
343,story1,We are thirsty with long travel;,0.35326284,0.3040899
344,story1,"will you not, then, give us a cup of water?",0.34411204,0.2752965
345,story1,We have found none for many hours.,0.31608862,0.2851848
346,story1,"I will not, wife of a dog; go and seek water for yourself.",0.08520302,0.7875236
347,story1,"The woman's eyes filled with tears,",0.11050888,0.4630874
348,story1,but the boy folded his arms on his breast and scowled.,0.08131808,0.52364635
349,story1,"He was a very handsome boy,",0.3873093,0.28340974
350,story1,"with bright black eyes,",0.39531335,0.26019642
351,story1,but when he scowled his eyes were like the sky before a thunderstorm.,0.26371244,0.39779973
352,story1,"he said,",0.14372888,0.53893214
353,story1,"""we are not wanted here any more than we were wanted yonder,""",0.07764694,0.68237424
354,story1,"""Yes, let us be going, my son,""",0.25296444,0.35352048
355,story1,answered Unandi;,0.23495474,0.35930505
356,story1,"but the path is long, we are weary and shall fall by the way.",0.1818547,0.3409621
357,story1,"I heard, and something pulled at my heart;",0.2945854,0.24490982
358,story1,"I was sorry for the woman and her boy, they looked so tired.",0.18003783,0.21922113
359,story1,"without saying anything to my mother,",0.39478296,0.22717747
360,story1,for I knew that there was a spring.,0.4290824,0.19350082
361,story1,Presently I came back with the gourd full of water.,0.5042231,0.19989434
362,story1,"My mother wanted to catch me,",0.34372553,0.39849713
363,story1,but I ran past her and gave the gourd to the boy.,0.41761762,0.2982721
364,story1,"Then my mother ceased trying to interfere,",0.38536233,0.34199458
365,story1,"only she beat the woman with her tongue all the while,",0.2318068,0.6180822
366,story1,and she felt in her heart that more evil would come upon us from her son.,0.08308321,0.84539324
367,story1,"the gardens of my people would not now be a wilderness,",0.23246239,0.5571446
368,story1,"Unandi's son,",0.37382162,0.34612852
369,story1,"having taken the gourd,",0.42684904,0.2565439
370,story1,did not offer the water to his mother.,0.44048563,0.225838
371,story1,He drank two-thirds of it himself;,0.45673048,0.21548702
372,story1,I think that he would have drunk it all had not his thirst been slaked;,0.4307466,0.23255478
373,story1,"but when he had done he gave what was left to his mother,",0.42917833,0.20807825
374,story1,and she finished it.,0.4040623,0.22150144
375,story1,"and came forward,",0.4546271,0.22031775
376,story1,holding it in one hand;,0.46774378,0.20635435
377,story1,in the other he carried a short stick.,0.4681962,0.18432133
378,story1,"""What is your name, boy?""",0.4508582,0.21802306
379,story1,he said to me as a big rich man speaks to one who is little and poor.,0.41418362,0.23617023
380,story1,"""Mopo is my name,""",0.45780417,0.1918535
381,story1,I answered.,0.45556068,0.18420468
382,story1,"""And what is the name of your people?""",0.4239428,0.20054914
383,story1,"Very well, Mopo; now I will tell you my name.",0.43554065,0.21290196
384,story1,And I will tell you something more.,0.4558763,0.19901453
385,story1,"But I shall grow big, so big that my head will be lost in the clouds;",0.46761516,0.28881508
386,story1,you will look up and you shall not see it.,0.46333,0.2658131
387,story1,My face will blind you;,0.43933648,0.36700562
388,story1,it will be bright like the sun;,0.45706266,0.42674968
389,story1,and my people will grow great with me;,0.49574345,0.49024618
390,story1,they shall eat up the whole world.,0.4861796,0.54455453
391,story1,"And when I am big and my people are big,",0.38029307,0.46765968
392,story1,"then I will remember your tribe-the tribe of the Langeni,",0.29559544,0.44791278
393,story1,who would not give me and my mother a cup of milk when we were weary.,0.28651786,0.47401363
394,story1,You see this gourd;,0.22747104,0.51546943
395,story1,for every drop it can hold the blood of a man shall flow-the blood of one of your men.,0.14067793,0.6065655
396,story1,"But because you gave me the water I will spare you,",0.42136344,0.3588714
397,story1,"and you only,",0.42792234,0.3632926
398,story1,and make you great under me.,0.4494105,0.38771063
399,story1,You shall grow fat in my shadow.,0.4601589,0.45693806
400,story1,"You alone I will never harm, however you sin against me; this I swear.",0.35638812,0.3735576
401,story1,"But for that woman,",0.21010002,0.5140685
402,story1,"and he pointed to my mother,",0.1919769,0.5523498
403,story1,"let her make haste and die,",0.13266416,0.6333504
404,story1,so that I do not need to teach her what a long time death can take to come.,0.21528307,0.50206673
405,story1,I have spoken.,0.2917897,0.4685881
406,story1,And he ground his teeth and shook his stick towards us.,0.11696086,0.7995844
407,story1,My mother stood silent awhile.,0.27188617,0.49922338
408,story1,Then she gasped out:,0.119612604,0.8147894
409,story1,The little liar!,0.092043184,0.86686623
410,story1,"He speaks like a man, does he?",0.19671328,0.72885245
411,story1,I will teach him another note-the brat of an evil prophet!,0.06996939,0.8713195
412,story1,and hit her so hard on the head that she fell down.,0.064373754,0.8850991
413,story1,"my father,",0.25921085,0.5359918
414,story1,"and they were words of prophecy,",0.31669176,0.48670343
415,story1,and they came true.,0.26651445,0.49339887
416,story1,"The last words I heard him speak were words of prophecy also,",0.3483563,0.34774107
417,story1,and I think that they will come true.,0.33258557,0.3481321
418,story1,Even now they are coming true.,0.2913004,0.44161743
419,story1,In the one he told how the Zulu people should rise.,0.3563585,0.27192846
420,story1,"And say, have they not risen?",0.28702155,0.39077932
421,story1,as vultures gather round a dying ox?,0.23304978,0.4582041
422,story1,"they will come true,",0.28532392,0.41495785
423,story1,and mine is the song of a people that is doomed.,0.20961869,0.43371883
424,story1,But of these other words I will speak in their place.,0.42412126,0.19480087
425,story1,I went to my mother.,0.39063153,0.20055182
426,story1,Presently she raised herself from the ground and sat up with her hands over her face.,0.24025331,0.3301847
427,story1,"The blood from the wound the stick had made ran down her face on to her breast,",0.19857624,0.3559207
428,story1,"She sat for a long while thus,",0.20142302,0.30511358
429,story1,"while the child cried,",0.19653559,0.29642868
430,story1,"the cow lowed to be milked,",0.22544529,0.2744995
431,story1,and I wiped up the blood with the grass.,0.22475526,0.2602109
432,story1,At last she took her hands away and spoke to me.,0.3045103,0.22480506
433,story1,"she said,",0.27888376,0.29599968
434,story1,I have dreamed a dream.,0.2507059,0.29128602
435,story1,he was grown like a giant.,0.24326189,0.45332637
436,story1,"his eyes blazed like the lightning,",0.16105987,0.59764975
437,story1,"He caught up people after people in his hands and tore them,",0.055830028,0.79251784
438,story1,"Before him was the green of summer,",0.19789372,0.5290078
439,story1,"I saw our people, Mopo;",0.24517553,0.4955945
440,story1,"they were many and fat,",0.29683086,0.51326054
441,story1,"their hearts laughed,",0.33556375,0.5456669
442,story1,"the men were brave,",0.3898186,0.56640726
443,story1,the girls were fair;,0.40207,0.5624295
444,story1,I counted their children by the hundreds.,0.34625933,0.51417136
445,story1,"I saw them again, Mopo.",0.31988436,0.28904644
446,story1,"thousands of bones tumbled together in a rocky place,",0.19911174,0.47758463
447,story1,"and he,",0.18343697,0.5458537
