ID,story,text
194,story1,"said the White Man,"
195,story1,"who was in the worst of tempers,"
196,story1,He was the driver of the first wagon.
197,story1,"""My father,"""
198,story1,"he said to the White Man,"
199,story1,this is my word.
200,story1,The oxen are lost in the snow.
201,story1,"No man knows whither they have gone,"
202,story1,or whether they live or are now but hides and bones.
203,story1,"and he pointed to some huts about two miles away on the hillside,"
204,story1,answered the White Man.
205,story1,"Before him was a very ancient man,"
206,story1,"a mere bag of bones,"
207,story1,"with sightless eyes,"
208,story1,and one hand-his left-white and shrivelled.
209,story1,asked the old man in a thin voice.
210,story1,You do not believe in me and my wisdom; why should I help you?
211,story1,"Yet I will do it,"
212,story1,"though it is against your law,"
213,story1,"and you do wrong to ask me,-yes,"
214,story1,I will help you.
215,story1,"My father, I know what you seek."
216,story1,You seek to know where your oxen have run for shelter from the cold!
217,story1,"""It is so, Doctor,"""
218,story1,answered the White Man.
219,story1,You have long ears.
220,story1,"Yes,"
221,story1,"I have long ears,"
222,story1,though they say that I grow deaf.
223,story1,"I have keen eyes also, and yet I cannot see your face."
224,story1,Let me hearken!
225,story1,Let me look!
226,story1,"You have a farm, White Man, down near Pine Town, is it not?"
227,story1,"you shall find your oxen-yes,"
228,story1,"the little red Zulu ox with one horn,"
229,story1,"You shall not find these, for they have died in the snow."
230,story1,"Send, and you will find the others."
231,story1,I ask no fee!
232,story1,I do not work wonders for reward.
233,story1,Now the White Man scoffed.
234,story1,"But in the end, so great is the power of superstition, he sent."
235,story1,"those whom he sent returned with the oxen,"
236,story1,except the three only.
237,story1,After that he scoffed no more.
238,story1,"and every afternoon he came and talked with him,"
239,story1,sitting far into the night.
240,story1,of whom he had let fall some words.
241,story1,Then the old man told him the tale that is set out here.
242,story1,Day by day he told some of it till it was finished.
243,story1,"It is not all written in these pages,"
244,story1,Neither has it been possible for the writer of it to render the full force of the Zulu idiom nor to convey a picture of the teller.
245,story1,"For, in truth, he acted rather than told his story."
246,story1,"Was the death of a warrior in question,"
247,story1,"he stabbed with his stick,"
248,story1,showing how the blow fell and where;
249,story1,"did the story grow sorrowful, he groaned, or even wept."
250,story1,"Moreover, he had many voices, one for each of the actors in his tale."
251,story1,"This man, ancient and withered, seemed to live again in the far past."
252,story1,"It was the past that spoke to his listener,"
253,story1,"telling of deeds long forgotten,"
254,story1,of deeds that are no more known.
255,story1,"Yet as he best may,"
256,story1,"and in many ways,"
257,story1,"he has done more,"
258,story1,he has printed it that others may judge of it.
259,story1,And now his part is played.
260,story1,"but who had another name,"
261,story1,take up the story.
262,story1,the most beautiful of Zulu women.
263,story1,"but you are here for many nights,"
264,story1,it shall be told.
265,story1,"for I have much to say that is sorrowful,"
266,story1,"Do you know who I am, my father?"
267,story1,You do not know.
268,story1,"So men have thought for many years, but that is not my name."
269,story1,"Few have known it,"
270,story1,"for I have kept it locked in my breast,"
271,story1,"Look at this hand, my father-no, not that which is withered with fire;"
272,story1,"You see it, though I who am blind cannot."
273,story1,"But still, within me, I see it as it was once."
274,story1,I see it red and strong-red with the blood of two kings.
275,story1,"Listen, my father; bend your ear to me and listen."
276,story1,I felt you start;
277,story1,he died on the Ghost Mountain;
278,story1,But I also was on the Ghost Mountain.
279,story1,"In those days my feet still could travel fast,"
280,story1,"I travelled by day, and by night I found him."
281,story1,Why do I tell you this?
282,story1,I will tell you.
283,story1,and because he had murdered my wives and children.
284,story1,"There are great names in the story, my father."
285,story1,"Yes, many have heard the names:"
286,story1,I have felt the mountains shake and seen the waters quiver in their sound.
287,story1,But where are they now?
288,story1,I opened the gates of distance for the holders of the names.
289,story1,They passed through and they are gone beyond.
290,story1,I cut the strings that tied them to the world.
291,story1,They fell off!
292,story1,"Perhaps they are falling still,"
293,story1,I wish I knew the snakes that I might crush them with my heel.
294,story1,"Yonder, beneath us, at the burying-place of kings, there is a hole."
295,story1,Far away in Zululand there is a cleft upon the Ghost Mountain.
296,story1,the king who died for Nada.
297,story1,It was far to fall and he was heavy;
298,story1,those bones of his are broken into little pieces.
299,story1,I went to see them when the vultures and the jackals had done their work.
300,story1,And then I laughed three times and came here to die.
301,story1,"All that is long ago, and I have not died;"
302,story1,that you may repeat it to the white men if you will.
303,story1,How old am I?
304,story1,"Nay, I do not know."
305,story1,"Very, very old."
306,story1,We were not a large tribe;
307,story1,"perhaps there were between two and three thousand of them,"
308,story1,but they were brave.
309,story1,"Now they are all dead,"
310,story1,"and their women and children with them,-that people is no more."
311,story1,It is gone like last month's moon;
312,story1,Our tribe lived in a beautiful open country;
313,story1,"standing as high as a man's elbow only,"
314,story1,"My mother was very fond of these cows,"
315,story1,and there was one with a white face that would follow her about.
316,story1,"Then the boys went on with the cattle,"
317,story1,"My mother sat down on the grass and nursed her baby,"
318,story1,and the cow grazed.
319,story1,She walked like one who is tired.
320,story1,"On her back was a bundle of mats,"
321,story1,"and she led by the hand a boy of about my own age,"
322,story1,but bigger and stronger than I was.
323,story1,"We waited a long while,"
324,story1,for she was very weary.
325,story1,We saw by the way her hair was dressed that she was not of our tribe.
326,story1,said the woman.
327,story1,answered my mother.
328,story1,"""Food, and a hut to sleep in,"""
329,story1,said the woman.
330,story1,I have travelled far.
331,story1,"""How are you named?-and what is your people?"""
332,story1,asked my mother.
333,story1,said the stranger.
334,story1,"Now there had been war between our people and the Zulu people,"
335,story1,"So, when my mother heard the speech of Unandi she sprang up in anger."
336,story1,wife of a dog of a Zulu!
337,story1,"The woman,"
338,story1,"who was very handsome,"
339,story1,waited till my mother had finished her angry words;
340,story1,"then she looked up and spoke slowly,"
341,story1,"""I will not,"""
342,story1,said my mother.
343,story1,We are thirsty with long travel;
344,story1,"will you not, then, give us a cup of water?"
345,story1,We have found none for many hours.
346,story1,"I will not, wife of a dog; go and seek water for yourself."
347,story1,"The woman's eyes filled with tears,"
348,story1,but the boy folded his arms on his breast and scowled.
349,story1,"He was a very handsome boy,"
350,story1,"with bright black eyes,"
351,story1,but when he scowled his eyes were like the sky before a thunderstorm.
352,story1,"he said,"
353,story1,"""we are not wanted here any more than we were wanted yonder,"""
354,story1,"""Yes, let us be going, my son,"""
355,story1,answered Unandi;
356,story1,"but the path is long, we are weary and shall fall by the way."
357,story1,"I heard, and something pulled at my heart;"
358,story1,"I was sorry for the woman and her boy, they looked so tired."
359,story1,"without saying anything to my mother,"
360,story1,for I knew that there was a spring.
361,story1,Presently I came back with the gourd full of water.
362,story1,"My mother wanted to catch me,"
363,story1,but I ran past her and gave the gourd to the boy.
364,story1,"Then my mother ceased trying to interfere,"
365,story1,"only she beat the woman with her tongue all the while,"
366,story1,and she felt in her heart that more evil would come upon us from her son.
367,story1,"the gardens of my people would not now be a wilderness,"
368,story1,"Unandi's son,"
369,story1,"having taken the gourd,"
370,story1,did not offer the water to his mother.
371,story1,He drank two-thirds of it himself;
372,story1,I think that he would have drunk it all had not his thirst been slaked;
373,story1,"but when he had done he gave what was left to his mother,"
374,story1,and she finished it.
375,story1,"and came forward,"
376,story1,holding it in one hand;
377,story1,in the other he carried a short stick.
378,story1,"""What is your name, boy?"""
379,story1,he said to me as a big rich man speaks to one who is little and poor.
380,story1,"""Mopo is my name,"""
381,story1,I answered.
382,story1,"""And what is the name of your people?"""
383,story1,"Very well, Mopo; now I will tell you my name."
384,story1,And I will tell you something more.
385,story1,"But I shall grow big, so big that my head will be lost in the clouds;"
386,story1,you will look up and you shall not see it.
387,story1,My face will blind you;
388,story1,it will be bright like the sun;
389,story1,and my people will grow great with me;
390,story1,they shall eat up the whole world.
391,story1,"And when I am big and my people are big,"
392,story1,"then I will remember your tribe-the tribe of the Langeni,"
393,story1,who would not give me and my mother a cup of milk when we were weary.
394,story1,You see this gourd;
395,story1,for every drop it can hold the blood of a man shall flow-the blood of one of your men.
396,story1,"But because you gave me the water I will spare you,"
397,story1,"and you only,"
398,story1,and make you great under me.
399,story1,You shall grow fat in my shadow.
400,story1,"You alone I will never harm, however you sin against me; this I swear."
401,story1,"But for that woman,"
402,story1,"and he pointed to my mother,"
403,story1,"let her make haste and die,"
404,story1,so that I do not need to teach her what a long time death can take to come.
405,story1,I have spoken.
406,story1,And he ground his teeth and shook his stick towards us.
407,story1,My mother stood silent awhile.
408,story1,Then she gasped out:
409,story1,The little liar!
410,story1,"He speaks like a man, does he?"
411,story1,I will teach him another note-the brat of an evil prophet!
412,story1,and hit her so hard on the head that she fell down.
413,story1,"my father,"
414,story1,"and they were words of prophecy,"
415,story1,and they came true.
416,story1,"The last words I heard him speak were words of prophecy also,"
417,story1,and I think that they will come true.
418,story1,Even now they are coming true.
419,story1,In the one he told how the Zulu people should rise.
420,story1,"And say, have they not risen?"
421,story1,as vultures gather round a dying ox?
422,story1,"they will come true,"
423,story1,and mine is the song of a people that is doomed.
424,story1,But of these other words I will speak in their place.
425,story1,I went to my mother.
426,story1,Presently she raised herself from the ground and sat up with her hands over her face.
427,story1,"The blood from the wound the stick had made ran down her face on to her breast,"
428,story1,"She sat for a long while thus,"
429,story1,"while the child cried,"
430,story1,"the cow lowed to be milked,"
431,story1,and I wiped up the blood with the grass.
432,story1,At last she took her hands away and spoke to me.
433,story1,"she said,"
434,story1,I have dreamed a dream.
435,story1,he was grown like a giant.
436,story1,"his eyes blazed like the lightning,"
437,story1,"He caught up people after people in his hands and tore them,"
438,story1,"Before him was the green of summer,"
439,story1,"I saw our people, Mopo;"
440,story1,"they were many and fat,"
441,story1,"their hearts laughed,"
442,story1,"the men were brave,"
443,story1,the girls were fair;
444,story1,I counted their children by the hundreds.
445,story1,"I saw them again, Mopo."
446,story1,"thousands of bones tumbled together in a rocky place,"
447,story1,"and he,"
448,story1,stood over the bones and laughed till the earth shook.
449,story1,You alone were left of our people.
450,story1,"and with you came others,"
451,story1,"You stabbed him with a little spear,"
452,story1,and he fell down and grew small again;
453,story1,he fell down and cursed you.
454,story1,your sister-and he died.
455,story1,So we rose and went home.
456,story1,"But I held my peace, for I was afraid, very much afraid."
457,story1,and died quickly.
458,story1,"Then my mother fell down and died,"
459,story1,"and I cried very much,"
460,story1,"for I loved her,"
461,story1,"and it was dreadful to see her cold and stiff,"
462,story1,with not a word to say however loudly I called to her.
463,story1,"Well, they buried my mother, and she was soon forgotten."
464,story1,"I only remembered her,"
465,story1,"nobody else did-not even Baleka,"
466,story1,for she was too little-and as for my father he took another young wife and was content.
467,story1,"After that I was unhappy,"
468,story1,"for my brothers did not love me,"
469,story1,"because I was much cleverer than they,"
470,story1,and was swifter in running;
471,story1,so they poisoned the mind of my father against me and he treated me badly.
472,story1,"for we were both lonely,"
473,story1,"and she clung to me like a creeper to the only tree in a plain,"
474,story1,"and though I was young,"
475,story1,"that to be wise is to be strong,"
476,story1,yet he whose mind directs the battle is greater than he who kills.
477,story1,"Now I saw that the witch-finders and the medicine-men were feared in the land,"
478,story1,"and that everybody looked up to them,"
479,story1,"even when they had only a stick in their hands,"
480,story1,ten men armed with spears would fly before them.
481,story1,So I learned the arts of the medicine-men.
482,story1,"I made sacrifices,"
483,story1,"I did all those things of which you have heard,"
484,story1,and I learned much;
485,story1,"for there is wisdom in our magic as well as lies-and you know it,"
486,story1,"my father,"
487,story1,else you had not come here to ask me about your lost oxen.
488,story1,So things went on till I was twenty years of age-a man full grown.
489,story1,"By now I had mastered all I could learn by myself,"
490,story1,"so I joined myself on to the chief medicine-man of our tribe,"
491,story1,who was named Noma.
492,story1,"He was old, had one eye only, and was very clever."
493,story1,"Of him I learned some tricks and more wisdom,"
494,story1,but at last he grew jealous of me and set a trap to catch me.
495,story1,"a rich man of a neighbouring tribe had lost some cattle,"
496,story1,and came with gifts to Noma praying him to smell them out.
497,story1,Then the headman grew angry and demanded back his gifts;
498,story1,and hot words passed.
499,story1,"I said, for I feared that blood would be shed."
500,story1,"""You are nothing but a boy,"""
501,story1,answered the headman.
502,story1,"""Can a boy have wisdom?"""
503,story1,"""That shall soon be known,"""
504,story1,"I said, taking the bones in my hand."
505,story1,throwing them something as we throw dice.
506,story1,"""Leave the bones alone!"""
507,story1,We will ask nothing more of our snakes for the good of this son of a dog.
508,story1,"""He shall throw the bones,"""
509,story1,answered the headman.
510,story1,And he lifted his spear.
511,story1,Then I made haste to begin; I threw the bones.
512,story1,The headman sat on the ground before me and answered my questions.
513,story1,"my father-how sometimes the witch-doctor has knowledge of where the lost things are,"
514,story1,"for our ears are long,"
515,story1,as but the other day it told me of your oxen.
516,story1,"Well, in this case, my snake stood up."
517,story1,"I knew nothing of the man's cattle,"
518,story1,"and told them to him one by one,"
519,story1,"and how one of them had fallen into a stream and lay there on its back drowned,"
520,story1,"the man was pleased,"
521,story1,"and said that if my sight was good,"
522,story1,"and he found the cattle,"
523,story1,the gifts should be taken from Noma and given to me;
524,story1,"and he asked the people who were sitting round,"
525,story1,"and there were many,"
526,story1,if this was not just.
527,story1,"""Yes, yes,"""
528,story1,"they said, it was just, and they would see that it was done."
529,story1,"He knew that I had made a true divination, and he was very angry."
530,story1,It was a big matter:
531,story1,"the herd of cattle were many,"
532,story1,then all men would think me the greater wizard.
533,story1,"Now it was late,"
534,story1,"and the moon had not yet risen,"
535,story1,After that he went away.
536,story1,I too went into my hut and lay down to sleep.
537,story1,"Suddenly I awoke, feeling a weight upon my breast."
538,story1,I fell back again and looked.
539,story1,the moon lay low on the sky like a ball of fire far away.
540,story1,"He was seated across me,"
541,story1,and in his hand was a knife.
542,story1,"he hissed into my ear,"
543,story1,"Very well, now I will show you how I serve such puppies."
544,story1,"so that you cannot squeal,"
545,story1,"then I will cut you to pieces slowly,"
546,story1,and in the morning I will tell the people that the spirits did it because you lied.
547,story1,"Next, I will take off your arms and legs."
548,story1,"Yes, yes, I will make you like a stick!"
549,story1,Then I will
550,story1,and he began driving in the knife under my chin.
551,story1,"""Mercy, my uncle,"""
552,story1,"""Have mercy, and I will do whatever you wish!"""
553,story1,"""Will you do this?"""
554,story1,"he asked, still pricking me with the knife."
555,story1,"Will you get up,"
556,story1,and hide them there?
557,story1,And he named a secret valley that was known to very few.
558,story1,"If you do that, I will spare you and give you three of the cows."
559,story1,"by my father's spirit,"
560,story1,I will find a way to kill you!
561,story1,"""Certainly I will do it, my uncle,"""
562,story1,I answered.
563,story1,Why did you not trust me before?
564,story1,"Had I known that you wanted to keep the cattle,"
565,story1,I would never have smelt them out.
566,story1,"""You are not so wicked as I thought,"""
567,story1,"Get up, then, and do my bidding."
568,story1,You can be back here two hours after dawn.
569,story1,"So I got up,"
570,story1,thinking all the while whether I should try to spring on him.
571,story1,"But I was without arms, and he had the knife;"
572,story1,"also if,"
573,story1,"I prevailed and killed him,"
574,story1,So I made another plan.
575,story1,"I would go and find the cattle in the valley where I had smelt them out,"
576,story1,but I would not bring them to the secret hiding-place.
577,story1,"my father,"
578,story1,and all the people.
579,story1,He had not been a witch-doctor till he grew old for nothing.
580,story1,"He had planted me by him like a tree,"
581,story1,but he meant to keep me clipped like a bush.
582,story1,Now I had grown tall and overshadowed him;
583,story1,"I went to the corner of my hut,"
584,story1,"Noma watching me all the while,"
585,story1,Then I started through the moonlight.
586,story1,"I began to run,"
587,story1,"singing to myself as I went,"
588,story1,"to frighten away the ghosts,"
589,story1,"For an hour I travelled swiftly over the plain,"
590,story1,till I came to the hillside where the bush began.
591,story1,"Here it was very dark under the shade of the trees,"
592,story1,and I sang louder than ever.
593,story1,"At last I found the little buffalo path I sought, and turned along it."
594,story1,"Presently I came to an open place,"
595,story1,where the moonlight crept in between the trees.
596,story1,I knelt down and looked.
597,story1,sometimes whispering and sometimes talking out loud.
598,story1,Here the trail of the cattle was broad:
599,story1,they had broken down the ferns with their feet and trampled the grass.
600,story1,Presently I came to a pool.
601,story1,"And there at the edge of the pool floated the drowned ox,"
602,story1,I stepped forward and looked round.
603,story1,My eye caught something;
604,story1,"As I looked, one of them snorted, rose and shook the dew from his hide."
605,story1,He seemed big as an elephant in the mist and twilight.
606,story1,as Noma had bid me.
607,story1,But I would not do this.
608,story1,and tell all men that Noma was a thief.
609,story1,"As I sat, I heard a noise, and looked up."
610,story1,"came a crowd of men,"
611,story1,"and leading them was Noma,"
612,story1,and by his side the headman who owned the cattle.
613,story1,"I rose and stood still, wondering;"
614,story1,"but as I stood,"
615,story1,they ran towards me shouting and waving sticks and spears.
616,story1,screamed Noma.
617,story1,There he is!-the clever boy whom I have brought up to bring shame on me.
618,story1,What did I tell you?
619,story1,Did I not tell you that he was a thief?
620,story1,Yes-yes!
621,story1,See!
622,story1,he is stealing the cattle!
623,story1,"He knew where they were all the time,"
624,story1,and now he is taking them away to hide them.
625,story1,"They would be useful to buy a wife with,"
626,story1,my clever boy?
627,story1,"I understood now, my father."
628,story1,"My heart went mad in me,"
629,story1,"everything began to swim round,"
630,story1,a red cloth seemed to lift itself up and down before my eyes.
631,story1,I have always seen it thus when I was forced to fight.
632,story1,"I screamed out one word only,"
633,story1,"I yelled again, and rushed on at the headman."
634,story1,"He got up his shield,"
635,story1,"but I knocked it down upon his head,"
636,story1,and over he rolled senseless.
637,story1,"Whether he lived or died I do not know, my father;"
638,story1,"but his head being of the thickest, I think it likely that he lived."
639,story1,"Then,"
640,story1,"while the people stood astonished,"
641,story1,I turned and fled like the wind.
642,story1,throwing spears at me and trying to cut me off.
643,story1,I went like the wind;
644,story1,"and presently the sound of their chase grew fainter and fainter,"
645,story1,till at last I was out of sight and alone.
646,story1,then I went and hid in a patch of reeds down by a swamp.
647,story1,All day long I lay there thinking.
648,story1,What was I to do?
649,story1,Now I was a jackal without a hole.
650,story1,"If I went back to my people,"
651,story1,"certainly they would kill me,"
652,story1,whom they thought a thief.
653,story1,"and that I did not wish,"
654,story1,though my heart was sad.
655,story1,the boy to whom I had given the cup of water long ago.
656,story1,I had heard of him: his name was known in the land;
657,story1,already the air was big with it;
658,story1,the very trees and grass spoke it.
659,story1,The words he had said and the vision that my mother had seen were beginning to come true.
660,story1,so that nobody could find them any more.
661,story1,and I thought to myself that I would arise and go to him.
662,story1,"Perhaps he would kill me; well, what did it matter?"
663,story1,Certainly I should be killed if I stayed here.
664,story1,"Yes, I would go."
665,story1,But now my heart pulled another way.
666,story1,There was but one whom I loved in the world-it was my sister Baleka.
667,story1,"My father had betrothed her to the chief of a neighbouring tribe,"
668,story1,but I knew that this marriage was against her wish.
669,story1,Perhaps my sister would run away with me if I could get near her to tell her that I was going.
670,story1,"I would try-yes, I would try."
671,story1,"I waited till the darkness came down,"
672,story1,"for I was very hungry,"
673,story1,"Some of my people were seated outside of a hut,"
674,story1,talking together over a fire.
675,story1,"I crept near, silently as a snake, and hid behind a little bush."
676,story1,"I knew that they could not see me outside the ring of the firelight,"
677,story1,and I wanted to hear what they said.
678,story1,"As I guessed, they were talking of me and called me many names."
679,story1,Just then a dog that was lying by the fire got up and began to sniff the air.
680,story1,"I could not see what dog it was-indeed,"
681,story1,"that is what comes of want of experience, my father."
682,story1,"The dog sniffed and sniffed,"
683,story1,"then he began to growl,"
684,story1,"looking always my way,"
685,story1,and I grew afraid.
686,story1,"""What is the dog growling at?"""
687,story1,said one man to another.
688,story1,But the other man was taking snuff and did not like to move.
689,story1,"""Let the dog go and see for himself,"""
690,story1,"he answered, sneezing,"
691,story1,"""what is the good of keeping a dog if you have to catch the thief?"""
692,story1,said the first man to the dog.
693,story1,"And he ran forward, barking."
694,story1,"as I lay not knowing what to do,"
695,story1,"stopped barking,"
696,story1,I whispered to him.
697,story1,And he lay down by my side.
698,story1,"""Where has that dog gone now?"""
699,story1,said the first man.
700,story1,that he stops barking suddenly and does not come back?
701,story1,"""We will see,"""
702,story1,"said the other, rising, a spear in his hand."
703,story1,"Now once more I was terribly afraid,"
704,story1,or I must run for my life again.
705,story1,"But as I sprang up to run,"
706,story1,a big black snake glided between the men and went off towards the huts.
707,story1,"They jumped aside in a great fright,"
708,story1,"then all of them turned to follow the snake,"
709,story1,saying that this was what the dog was barking at.
710,story1,"my father,"
